num,learning_rate,buffer_size,learning_starts,batch_size,tau,gamma,train_freq,gradient_steps,target_update_interval,target_entropy,first_hidden_size,second_hidden_size
2,3e-5,1e8,1000,128,0.1,0.9,100,10,10,-20,512,1024
3,3e-4,1e7,10000,512,0.2,0.9,1,10,1,-2000,64,256
4,3e-3,1e8,1000,512,0.05,0.99,100,100,10,-0.2,1024,256
5,3e-3,1e7,100000,512,0.05,0.9,10000,10,5,-2000,256,512
6,3e-4,1e6,1000,256,0.1,0.99,1000,100,5,-0.2,1024,128
7,3e-3,1e6,100000,128,0.2,0.95,1000,1,5,-20,128,512
8,3e-5,1e6,100000,256,0.2,0.99,10,10,5,-2,64,128
10,3e-4,1e8,10000,128,0.2,X,10,100,1,-200,1024,1024
12,3e-4,1e7,10000,256,0.05,X,10,1,10,-200,512,64
13,3e-4,1e8,100000,256,X,X,1,100,1,-20,128,128
15,3e-5,1e7,10000,128,X,0.9,100,1,10,-2,1024,512
16,3e-3,1e7,10000,X,0.2,0.95,10000,10,5,-20,512,256
17,3e-3,1e8,10000,256,0.1,0.9,10,100,1,-200,256,256
18,3e-5,1e7,1000,512,0.05,0.99,1,1,1,-200,64,512
19,3e-3,1e6,10000,128,0.05,0.9,1000,1,10,-2000,512,128
21,3e-5,1e7,1000,512,0.1,0.95,10000,100,5,-2000,128,64
22,3e-4,1e6,10000,256,0.2,0.99,100,10,5,-0.2,128,1024
24,3e-4,1e7,100000,X,0.1,0.95,100,1,10,-0.2,256,64
26,3e-3,X,1000,128,0.2,0.99,10000,X,10,-2,256,1024
29,3e-4,X,100000,256,X,0.99,100,100,X,-2000,1024,512
30,X,X,1000,512,X,X,10,X,X,-0.2,64,128
31,3e-3,1e6,1000,128,0.2,X,1,X,5,-20,256,256
32,X,1e8,1000,256,X,0.95,10000,100,X,-2,512,512
33,3e-5,1e8,100000,128,X,X,1000,X,1,-0.2,512,256
34,3e-3,X,100000,512,X,X,1000,X,X,-20,64,1024
35,X,X,100000,X,X,X,100,1,X,-200,64,1024
36,X,X,X,X,0.05,X,1,10,10,-20,1024,1024
37,X,X,X,X,X,0.9,1,X,X,-0.2,512,64
38,X,X,X,X,X,0.99,10000,X,X,-200,512,128
39,X,X,X,X,X,0.9,10,X,X,-2000,128,512
40,X,X,X,X,X,0.95,1000,X,X,-2,1024,64